"Time","141006A","","141006A","","141006A","",""
"and","140.00","","140.00","","140.00","",""
"Date","Discharge (Cumecs)","","Discharge (Cumecs)","","Discharge (Cumecs)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 15/12/1971,"",    255,"",    255,"",    255,Sites:
00:00:00 16/12/1971,      0.0000,     20,      0.0000,     20,      0.0000,     20,141006A - Mooloolah River at Mooloolah Lat:-26.76135955 Long:152.9822091 Elev:0m
00:00:00 17/12/1971,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 18/12/1971,      0.0000,     20,      0.0000,     20,      0.0000,     20,Variables:
00:00:00 19/12/1971,      0.0000,     20,      0.0000,     20,      0.0000,     20,140 - Stream Discharge (Cumecs)
00:00:00 20/12/1971,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 21/12/1971,      0.0025,     20,      0.0000,     20,      0.0040,     20,Qualities:
00:00:00 22/12/1971,      0.0016,     20,      0.0000,     20,      0.0040,     20,10 - Good
00:00:00 23/12/1971,      0.0026,     20,      0.0000,     20,      0.0040,     20,19 - CITEC - No Flow Reading
00:00:00 24/12/1971,      0.0019,     20,      0.0000,     20,      0.0040,     20,20 - Fair
00:00:00 25/12/1971,      0.0000,     20,      0.0000,     20,      0.0000,     20,30 - Poor
00:00:00 26/12/1971,      0.0000,     20,      0.0000,     20,      0.0000,     20,59 - CITEC - Derived Height
00:00:00 27/12/1971,      7.5163,     20,      0.0000,     20,     60.2524,     20,60 - Estimate
00:00:00 28/12/1971,     34.4440,     30,      4.4085,     30,     74.4355,     30,130 - Not coded value
00:00:00 29/12/1971,      2.0344,     20,      0.7876,     20,      4.4085,     20,255 - No data exists
00:00:00 30/12/1971,      0.4117,     20,      0.2077,     20,      0.7876,     20, 
00:00:00 31/12/1971,      0.1394,     20,      0.0970,     20,      0.2077,     20, 
00:00:00 01/01/1972,      0.0745,     20,      0.0620,     20,      0.0970,     20, 
00:00:00 02/01/1972,      0.0520,     20,      0.0435,     20,      0.0620,     20, 
00:00:00 03/01/1972,      0.0369,     20,      0.0305,     20,      0.0435,     20, 
00:00:00 04/01/1972,      0.0278,     20,      0.0250,     20,      0.0305,     20, 
00:00:00 05/01/1972,      0.0192,     20,      0.0140,     20,      0.0250,     20, 
00:00:00 06/01/1972,      0.0107,     20,      0.0080,     20,      0.0140,     20, 
00:00:00 07/01/1972,      0.0229,     20,      0.0075,     20,      0.0354,     20, 
00:00:00 08/01/1972,      0.1364,     20,      0.0354,     20,      0.2850,     20, 
00:00:00 09/01/1972,      0.0613,     20,      0.0380,     20,      0.0857,     20, 
00:00:00 10/01/1972,      0.0336,     20,      0.0305,     20,      0.0380,     20, 
00:00:00 11/01/1972,      0.0204,     20,      0.0075,     20,      0.0305,     20, 
00:00:00 12/01/1972,      0.0102,     20,      0.0075,     20,      0.0135,     20, 
00:00:00 13/01/1972,      0.0106,     20,      0.0075,     20,      0.0140,     20, 
00:00:00 14/01/1972,      0.0075,     20,      0.0075,     20,      0.0075,     20, 
00:00:00 15/01/1972,      0.0204,     20,      0.0075,     20,      0.0250,     20, 
00:00:00 16/01/1972,      4.8360,     20,      0.0250,     20,     10.8420,     20, 
00:00:00 17/01/1972,      2.5504,     20,      1.7365,     20,      6.4630,     20, 
00:00:00 18/01/1972,      2.9629,     20,      1.8130,     20,      6.1914,     20, 
00:00:00 19/01/1972,      1.4644,     20,      0.6185,     20,      3.2593,     20, 
00:00:00 20/01/1972,      2.1086,     20,      0.6175,     20,      4.9145,     20, 
00:00:00 21/01/1972,      0.5782,     20,      0.3050,     20,      1.0597,     20, 
00:00:00 22/01/1972,      0.2067,     20,      0.1500,     20,      0.3050,     20, 
00:00:00 23/01/1972,      0.2472,     20,      0.1485,     20,      0.4430,     20, 
00:00:00 24/01/1972,      1.1672,     20,      0.1840,     20,      5.8325,     20, 
00:00:00 25/01/1972,      3.6604,     20,      1.3105,     20,     10.4420,     20, 
